,hitokoto,from
186,没完没了的工作，就是为了明日复明日的生活。,人有两条路要走， 一条是必须走的，一条是想走的，你必须把必须走的路走漂亮，才可以走想走的路。
187,苦心人天不负，卧薪尝胆，三千越甲可吞吴。有志者事竞成，破釜沉舟，百二秦川终属楚。,透过云端的道路，只亲吻攀登者的足迹。
188,用行动祈祷比用言语更能够使上帝了解。,在真实的生命里，每桩伟业都由信心开始，并由信心跨出第一步。
189,一定的忧愁.痛苦或烦恼，对每个人都是时时必需的。一艘船如果没有压舱物，便不会稳定，不能朝着目的地一直前进。,人生能有几回搏？现在不搏更待何时？珍惜机遇吧，让金色的年华碰撞出更加灿烂的火花！
190,熬那些很苦的日子一点都不难，因为我知道它会变好。,用行动祈祷比用言语更能够使上帝了解。
191,真正能走过风雨的，唯热爱与坚守。,你别羡慕她的漂亮，总会有人爱上你的善良。
192,奔忙中，你来我往，遇见的都是缘分。茫茫人海，一生当中的擦肩相遇少之可怜，更何况相识与相知。,人活着就要快乐。
193,身安不如心安，屋宽不如心宽。,真正的强者，不是流泪的人，而是含泪奔跑的人。
194,坚强是内心的强大，能够肩负起相应的职责。,不自重者，取辱。不自长者，取祸。不自满者，受益。不自足者，博闻。
195,许多人缺少的不是美，而是自信的气质。,沙漠里的脚印很快就消逝了。一支支奋进歌却在跋涉者的心中长久激荡。
196,学习是一次独立的行动，需要探索.琢磨.积极应战.顽强应战，艰辛由你独自承担，胜利由你独立争取。,生命很残酷，用悲伤让你了解什么叫幸福，用噪音教会你如何欣赏寂静，用弯路提醒你前方还有坦途。
197,我本微末凡尘，可也心向天空。,只有收获，才能检验耕耘的好处；只有贡献，方可衡量人生的价值。
198,我们的事业就是学习再学习，努力积累更多的知识，因为有了知识，社会就会有长足的进步，人类的未来幸福就在于此。,顽强的毅力改变能够征服世界上任何一座高峰。
199,我想要自由飞翔，这一刻，我对自己说，我不在胆怯。,爬上最高的境界，你会陡然发现：那里的景色竟然是你司空见惯的。
200,每一发奋努力的背后，必有加倍的赏赐。,当你觉得没有人来爱你，别人看见的就是可怜兮兮，毫无魅力的你。
201,上天完全是为了坚强你的意志，才在道路上设下重重的障碍。,最值得欣赏的风景，是自己奋斗的足迹。
202,只做第一个我，不做第二个谁。,千万别迷恋网络游戏，要玩就玩好人生这场大游戏。
203,只会幻想而不行动的人，永远也体会不到收获果实时的喜悦。,人在旅途，难免会遇到荆棘和坎坷，但风雨过后，一定会有美丽的彩虹。
204,微笑，是强者对人生最完美的诠释；微笑，是从从容容的人生态度。,不为模糊不清的未来担忧，只为清清楚楚的此刻努力。
205,坚信就是强大，怀疑只会抑制潜质，而信仰就是力量。,如果我不坚强，那就等着别人来嘲笑。
206,"山涧的泉水经过一路曲折,才唱出一支美妙的歌。",如果努力就可以做到的事情，为什么不去做。
207,积极的人在每一次忧患中都看到一个机会，而消极的人则在每个机会都看到某种忧患。,不必太纠结于当下，也不必太忧虑未来，当你经历过一些事情的时候，眼前的风景已经和从前不一样了。
208,也许错过一瞬，就是错过一世。,你始终不属于我，属于我的只是我自己。
209,只要心里还存着不甘心，就还没到放弃的时候。,身安不如心安，屋宽不如心宽。
210,只有登上山顶，才能看到那边的风光。,人生太苦，多加点糖。
211,输了就是输了，没什么好去解释的，不过是一盘棋，何必去计较。,永不言败是追究者的最佳品格。
212,不要活在别人眼中，更不要活在别人嘴中。世界不会因为你的抱怨不满而为你改变，你能做到的只有改变你自己！,时光匆匆流逝过，平平淡淡才是真。忍耐任由风雨过，守得云开见月明。
213,坚信就是强大，怀疑只会抑制潜质，而信仰就是力量。,世上的事，只要肯用心去学，没有一件是太晚的。要始终保持敬畏之心，对阳光，对美，对痛楚。
214,没有一种不透过蔑视忍受和奋斗就能够征服的命运。,世间成事，不求其绝对圆满，留一份不足，可得无限完美。
215,积金遗于子孙，子孙未必能守；积书于子孙，子孙未必能读。不如积阴德于冥冥之中，此乃万世传家之宝训也。,是我的，终归是我的；不是我的，再去争取也会灰飞烟灭，何必呢？还是默默在角落做好一个旁观者，顺其自然，随遇而安，好好过自己的生活。
216,当有人说我们办不到的时候，我们要以这个永恒的信条来回应他们：是的，我们能做到。,别把自己看的那么遭，其实你很好。
217,人的活动如果没有理想的鼓舞，就会变得空虚而渺小。,不要给自己的失败找借口！
218,就算全世界都否定我，还有我自己相信我。,再高的人有时也需踮足，再矮的人有时也需屈身。
219,人生伟业的建立，不在能知，乃在能行。,你可以坚持自己的理想，但不需固执自己的想法。
220,有计划就去做，不要总找借口,没有失败，只有暂时停止成功！
221,生命要得到丰盛的收获，必需阳光；同时，也需要“雨”的浇灌。,用行动祈祷比用言语更能够使上帝了解。
222,有计划就去做，不要总找借口,没有人值得你流泪，值得让你这么做的人不会让你哭泣。
223,真正的痛苦，没有人能与你分担。你只能把它从一个肩头，换到你的另一个肩头。,不要去拒绝忙碌，因为它是一种充实；不要去抱怨挫折，因为它是一种坚强；不要去拒绝微笑，因为它是你最大的魅力。
224,学习必须与实干相结合。,即使行动导致错误，却也带来了学习与成长;不行动则是停滞与萎缩。
225,真正能走过风雨的，唯热爱与坚守。,每个人身上都有惰性和消极情绪，成功的人都是懂得管理自己的情绪和克服自己的惰性，并像太阳一样照亮身边的人，激励身边的人。
226,你别羡慕她的漂亮，总会有人爱上你的善良。,失去金钱的人损失甚少，失去健康的人损失极多，失去勇气的人损失一切。
227,活在别人的掌声中，是禁不起考验的人。,多年后的你，一定会感谢现在拼命的自己。
228,没有伞的孩子必须努力奔跑！,世上只有一种英雄主义，就是在认清生活真相之后依然热爱生活。
229,有人在光明中注视着阴影，有人在阴影中眺望着光明。,不要试图控制别人，不要要求别人理解你。
230,好的，坏的……一切都是你的，有必要自卑吗？,对于攀登者来说，失掉往昔的足迹并不可惜，迷失了继续前时的方向却很危险。
231,必须从过去的错误学习教训而非依赖过去的成功。,人生只有经历酸甜苦辣，才懂得人间的味道，因此也必须学会珍惜人生和珍惜感情。
232,成功的速度必须要超过父母老去的速度。,谁不是一边受伤，一边学会坚强。
233,自然界没有风风雨雨，大地就不会春华秋实。,最珍贵的不是你现在有多好，而是经过努力，每一天的自己都比之前更好。
234,一剪薄弱的光，也要骄傲的捧出辉煌。,读书要有感受，要有审美感，对他人的金玉良言，要能融会贯通，并使之付诸实现。
235,如果我们想要更多的玫瑰花，就必须种植更多的玫瑰树。,任何的限制，都是从自己的内心开始的。
236,所谓情话，就是你说了一些连自己都不相信的话，却希望对方相信。,人生就像掌纹，尽管错综复杂，却始终掌握在自己手中。
237,活在当下，别在怀念过去或者憧憬未来中浪费掉你现在的生活。,失败的定义：什么都要做，什么都在做，却从未做完过，也未做好过。
238,我为你今天的表现感到骄傲。,当你感觉累的时候，想一下父母在干什么？无论何时都要牢记，坚持是世界上最伟大的事。
239,崇高的理想就象生长在高山上的鲜花。如果要搞下它，勤奋才能是攀登的绳索。,微笑拥抱每一天，做像向日葵般温暖的女子。
240,孤独是每个强者必须经历的坎。,不要盲目跟随人家的思维，人家会说你就会跟别人学。
241,就算跑最后一名又怎样，至少我又运动精神。而且我一定会跑完全程，只要跑到终点我就成功了！,选一个方向，定一个时间；剩下的只管努力与坚持，时间会给我们最后的答案。
242,如果你生气了，请在面对爱人之前先面对镜子。看看自己，你喜欢现在这张脸吗？,要成功，就要长期等待而不焦躁，态度从容却保持敏锐，不怕挫折且充满希望。
243,我不怕磨难多，因为那是上天在嫉妒我们的爱太美。,不要太在乎自己的长相，因为能力不会写在脸上。
244,对一个年轻人而言最重要的是个人价值的增加。,如果你的面前有阴影，那是因为你的背后有阳光。
245,普通人成功并非靠天赋，而是靠把寻常的天资发挥到不寻常的高度。,学习，学习，再学习！学，然后知不足。
246,目标的坚定是性格中最必要的力量源泉之一，也是成功的利器之一。没有它，天才也会在矛盾无定的迷径中徒劳无功。,热爱生活，生活也会厚爱你。
247,每一发奋努力的背后，必有加倍的赏赐。,开始一种恐慌，停留与不可复制的回忆。
248,不必太纠结于当下，也不必太忧虑未来，当你经历过一些事情的时候，眼前的风景已经和从前不一样了。,人生不如意者十之八九，当你面对突如其来的变故时，有一个叫做坚强的家伙已经在你的脑海里根植，它时刻提醒你面对困难，请用你的智慧和毅力去克服；面对不幸，请用你的真诚和微笑去感动；面对磨难，请用的耐心去品味；面对残缺和不完美的人生，请用坦然去接受。
249,每个人的心里，都藏着一个了不起的自己，只要你不颓废，不消极，一直悄悄酝酿着乐观，培养着豁达，坚持着善良，只要在路上，就没有到达不了的远方！,老要靠别人的鼓励才去奋斗的人不算强者;有别人的鼓励还不去奋斗的人简直就是懦夫。
250,虽然我们无法改变人生，但能够改变人生观。虽然我们无法改变环境，但我们能够改变心境。,谁把安逸当成幸福的花朵，那么等到结果时节，他只能望着空枝叹息。
251,胜利，是属于最坚韧的人。,目标不是都能达到的，但它可以作为瞄准点。
252,不拼不搏人生白活，不苦不累人生无味。,每个人的心里，都藏着一个了不起的自己，只要你不颓废，不消极，一直悄悄酝酿着乐观，培养着豁达，坚持着善良，只要在路上，就没有到达不了的远方！
253,没有伞的孩子，必须努力奔跑！,逆境总是有的，人生总要进击。愿你不要屈从于命运的安排，坚韧不拔，锲而不舍！做永远的生活强者！
254,我不去想是否能够成功，既然选择了远方，便只顾风雨兼程！,有时候，我们活得累，并非生活过于刻薄，而是我们太容易被外界的氛围所感染，被他人的情绪所左右。
255,不管现在有多么艰辛，我们也要做个生活的舞者。,如果惧怕前面跌宕的山岩，生命就永远只能是死水一潭。
256,细节决定命运，态度决定高度。,运气就是机会碰巧撞到了你的努力。
257,你既然认准一条道路，何必去打听要走多久。,哪怕是最没有希望的事情，只要有一个勇敢者去坚持做，到最后就会拥有希望。
258,学习从来无捷径，循序渐进登高峰。,在各自岗位上尽职尽责，无需豪言壮语，默默行动会诠释一切。
259,高峰只对攀登它而不是仰望它的人来说才有真正意义。,生命力的意义在于拚搏，因为世界本身就是一个竞技场。
260,一份耕耘，份收获，努力越大，收获越多。,"情绪很容易彼此感染，每天早晨，给全家人笑脸，出门时候对第一个看见的人微笑并说声""您好""从此，一天心情都会非常好。"
261,一件事如果想做，就早点下定决心。拖一天就纠结一天，早一天就多赚一天。,用微笑告诉别人，今日的我，比昨日更强。
262,你若不想做，会找一个或无数个借口；你若想做，会想一个或无数个办法。,人的成就和差异决定于其业余时间。
263,我讨厌什么都不做，却有所期待的自己！,相信你行，你就活力无穷。
264,时间只是过客，自己才是主人，人生的路无需苛求，只要你迈步，路就在你的脚下延伸，只要你扬帆，便会有八面来风，启程了，人的生命才真正开始。,能坚持别人不能坚持的，才能拥有别人不能拥有的。
265,君子之交淡如水，要有好脾气和仁义广结好缘，多结识良友，那是积蓄无形资产。很多成功就是来源于无形资产。,谁把安逸当成幸福的花朵，那么等到结果时节，他只能望着空枝叹息。
266,只要你确信自己正确就去做。做了有人说不好，不做还是有人说不好，不要逃避批判。,苦心人天不负，卧薪尝胆，三千越甲可吞吴。有志者事竞成，破釜沉舟，百二秦川终属楚。
267,世间上最美好的爱恋，是为一个人付出时的勇敢，即使因此被伤得体无完肤，也无悔无怨。,进则安居以行其志，退则安居以修其所未能，则进亦有为，退亦有为也。
268,雄心壮志是茫茫黑夜中的北斗星。,过去的习惯，决定今日的你，所以，过去的懒惰，决定你今日的一败涂地。
269,生命不在长而在于好，只要每一次尽力的演示，都值得鼓励与喝采。,人生的每一笔经历，都在书写你的简历。原本你以为微不足道的事情，回头看的时候，都有着无法细数的刻度。自己拼出来的东西，和别人送到嘴边的东西，意义和珍惜的程度都大为不同。
270,人犯错误，大半是该用真情时太过动脑筋，而在该用脑筋时又太感情用事。,可怕的是，比你优秀的人比你还要努力。
271,困，你是人类艺术的源泉，你将伟大的灵感赐予诗人。,在生命里寻觅快乐的方法，就是了解你被赋予生命是为了奉献。
272,生命的道路上永远没有捷径可言，只有脚踏实地走下去。,生命不在长而在于好，只要每一次尽力的演示，都值得鼓励与喝采。
273,假如你从来未曾害怕受窘受伤害，好就是你从来没有冒过险。,自己的路自己走，无论是苦是累，甚至是失败，都要去承担，只要是自己的选择，就无怨无悔。
274,快乐可以与人共赏，苦难只能自己坚强；当你一直往前走时，别忘了回头看看，自己曾经的模样。,当机会来临时，你已经准备好了。
275,当你跌到谷底时，那正表示，你只能往上，不能往下！,成功的秘诀在于永不改变既定的目标。若不给自己设限，则人生中就没有限制你发挥的藩篱。幸福不会遗漏任何人，迟早有一天它会找到你。
276,如果你希望成功，以恒心为良友，以经验为参谋，以小心为兄弟，以希望为哨兵。,只要还有明天，今日就永远是起跑线。
277,旁观者的姓名永远爬不到比赛的计分板上。,别把自己看的那么遭，其实你很好。
278,不要为小事遮住视线，我们还有更大的世界。,"情绪很容易彼此感染，每天早晨，给全家人笑脸，出门时候对第一个看见的人微笑并说声""您好""从此，一天心情都会非常好。"
279,只要还有明天，今日就永远是起跑线。,永远不要放弃你真正想要的东西。等待虽难，但后悔更甚。
280,古之立大事者，不惟有超世之材，亦必有坚忍不拨之志,光明在前，阴影在后。
281,最常见的勇气就是在日常生活中做到诚实和正直，能够抵制诱惑，敢于讲真话，表现自我真实的一面，而不好虚伪造作。,无人理睬时，坚定执着。万人羡慕时，心如止水。
282,一个人至少拥有一个梦想有一个理由去坚强。,时间，抓住了就是黄金，虚度了就是流水。理想，努力了才叫梦想，放弃了那只是妄想。努力，虽然未必会收获，但放弃，就一定一无所获。
283,天空黑暗到一定程度，星辰就会熠熠生辉。,没有一种不通过蔑视、忍受和奋斗就可以征服的命运。
284,胜利，是属于最坚韧的人。,没有不进步的人生，只有不进取的人！
285,炫耀是需要观众的，而炫耀恰恰让我们失去观众。,从来不跌倒不算光彩，每次跌倒后能再站起来，才是最大的荣耀。
286,失败并不意味你浪费了时间和生命，失败证明你有理由重新开始。,懂得感恩，是收获幸福的源泉。懂得感恩，你会发现原来自己周围的一切都是那样的完美。
287,用脑思考，用心琢磨，用行动证实。,太多的选择，等于没有选择。选择的可能性越多，越容易对自己的选择持怀疑态度。当你面前只有一条道路时，你会坚定不移地走下去；当你面前有多条道路时，你就会无所适从，甚至做出错误的选择。机会越多，越容易迷惑自己，越容易让真正的机会在你犹豫不决的时候悄悄溜走。
288,如果你希望成功，以恒心为良友，以经验为参谋，以小心为兄弟，以希望为哨兵。,不要去拒绝忙碌，因为它是一种充实；不要去抱怨挫折，因为它是一种坚强；不要去拒绝微笑，因为它是你最大的魅力。
289,只有一条路不能选择--那就是放弃的路；只有一条路不能拒绝--那就是成长的路。,毅力和耐性在某种程度上将决定一个人会成为什么样的人。
290,不如就利用孤单的时间使自己变得更优秀，给来的人一个惊喜，也给自己一个好的交代。,人总是要学着自己长大，用旅途的孤单收获成长。
291,微笑拥抱每一天，做像向日葵般温暖的女子。,没有天生的信心，只有不断培养的信心。
292,胜利女神不一定眷顾所有的人，但曾经尝试过，努力过的人，他们的人生总会留下痕迹!,孤独不是给别人机会来可怜你，而是给你机会发现更强大的自己。
293,读书要有感受，要有审美感，对他人的金玉良言，要能融会贯通，并使之付诸实现。,驾驭命运的舵是奋斗。不抱有一丝幻想，不放弃一点机会，不停止一日努力。
294,没有人能预知未来的命运，但我们可以用愉悦的表情面对命运。,不好等待机会，而要创造机会。
295,多年后的你，一定会感谢现在拼命的自己。,积极的人在每一次忧患中都看到一个机会，而消极的人则在每个机会都看到某种忧患。
296,不要让追求之舟停泊在幻想的港湾，而应扬起奋斗的风帆，驶向现实生活的大海。,在人生舞台上，从不给落伍者颁发奖牌。
297,只有收获，才能检验耕耘的好处；只有贡献，方可衡量人生的价值。,将一付好牌打好没有什么了不起能将一付坏牌打好的人才值得钦佩。
298,没用的东西，再便宜也不要买；不爱的人，再寂赛也不要依赖。,成功就是简单的事情不断地重复做。
299,不怕物质匮乏，就怕心灵匮乏，不怕物质富有，就怕精神没有。舍得付出不计吃亏，就是富有的人生;贪图安逸只知享受，必是贫穷的人生。,如果错过了太阳时你流泪了，那么你也要错过群星了。
300,学习中经常取得成功可能会导致更大的学习兴趣，并改善学生作为学习的自我概念。,一生之中一定会遇到某个人，他打破你的原则，改变你的习惯，成为你的例外。其实全世界最幸福的童话，不过是一起度过柴米油盐的岁月。
301,静坐常思己过，闲谈莫论人非，肯吃亏不是痴人，能受苦乃为志士，敬君子方显有德，怕小人不算无能，退一步天高地阔，知足者人心常乐！,没有口水与汗水，就没有成功的泪水。
302,属于自己的，不要放弃。已经失去的，留作回忆。,学习从来无捷径，循序渐进登高峰。
303,胜利，是属于最坚韧的人。,懂得感恩，是收获幸福的源泉。懂得感恩，你会发现原来自己周围的一切都是那样的美好。
304,"当你不去旅行，不去冒险，不去谈一场恋爱，不过没试过的生活，每天只是挂着QQ,刷着微博，逛着淘宝，干着岁都能做的事情，那么你要青春有什么用。",智者顺时而谋，愚者逆时而动。
305,女人，要么有美貌，要么有智慧，如果两者你都不占绝对优势，那你就选择善良。,如果你想攀登高峰，切莫把彩虹当作梯子。
306,收起羡慕别人的目光自己去努力。,不要质疑你的付出，这些都会一种累积一种沉淀，它们会默默铺路，只为让你成为更优秀的人。
307,人生的每一笔经历，都在书写你的简历。原本你以为微不足道的事情，回头看的时候，都有着无法细数的刻度。自己拼出来的东西，和别人送到嘴边的东西，意义和珍惜的程度都大为不同。,告诉自己不要那么念旧，不要那么执着不放手。
308,梦想也许今天无法实现，明天也不行，但是只要今天的自己比昨天的自己足够努力，就会距离梦想近一步。,自然界没有风风雨雨，大地就不会春华秋实。
309,对大多数人来说，能把家人照顾好，就是生最大的成就了。,无志者常立志，有志者立常志，咬定一个目标的人最容易成功。
310,古之立大事者，不惟有超世之材，亦必有坚忍不拨之志。,随缘不是得过且过，或是因循苟且，而是要尽人事听天命。
311,别想一下造出大海，必须先由小河川开始。,在人生的道路上，想哭就哭，想笑就笑吧，只是别忘记赶路。
312,选山攀崖！量力而为！,奋斗的路上，时间总是过得很快，目前的困难和麻烦是很多，但是只要不忘初心，脚踏实地一步一步的朝着目标前进，最后的结局交给时间来定夺。
313,努力和效果之间，永远有这样一段距离。成功和失败的唯一区别是，你能不能坚持挺过这段无法估计的距离。,每个人都是自己的上帝，相信自己一定可以在某一方面出色。
314,命运掌握在自己手里，命运的好坏由自己去创造。,看一个人的心术，看他的眼神;看一个人的身价，看他的对手;看一个人的底牌，看他的朋友。
315,你可以坚持自己的理想，但不需固执自己的想法。,做人不稳，人生没有深度；做事不狠，人生没有力度！
316,你要让你的实力配得上自己的野心。,低头是一种能力，它不是自卑，也不是怯弱，它是清醒中的嬗变。有时，稍微低一下头，或者我们的人生路会更精彩。
317,溪流的秀美是因为它脚下的路坎坷不平。,行动是成功的阶梯，行动越多，登得越高。
318,找到你喜欢做的事，并努力成为这个领域里的顶尖人物。,如果你生气了，请在面对爱人之前先面对镜子。看看自己，你喜欢现在这张脸吗？
319,我不屑与任何一个人去争。爱我的，不用争。不爱的，争来也没用。,上天完全是为了坚强你的意志，才在道路上设下重重的障碍。
320,莫妒他长，妒长，则己终是短。莫护己短，护短，则己终不长。,失败只有一种，那就是半途而废。
321,志之所趋，无远勿届，穷山复海不能限也；志之所向，无坚不摧。,现在的我们，似乎懂事了，因而学会了拼搏。
322,也许终点只有绝望和失败，但这绝不是停止前行的理由。,人生至恶是善谈人过；人生至愚恶闻己过。
323,“麻烦”能让你学会很多东西，也是锻炼你自己的机会，因此不要害怕“麻烦”。,你是老师的百分之一，是父母的百分之五十，但却是你自己的百分之百，所以要非常非常努力，去追求自己想要的一切。
324,自暴自弃便是命运的奴隶，自强不息是生命的天使；我不想用别人的汗水浇灌自己的心灵，我愿意用别人的棉袄，来温暖自己的躯体。我只想堂堂正正的做人，我只愿光明磊落做事，该记得的我不会遗忘，该遗忘的我不会存放。,向前跑，只为了心中的美好。
325,应当随时学习，学习一切；应该集中全力，以求知道得更多，知道一切。,不要等待机会，而要创造机会。
326,在逆境中，智者知难而进，愚者消沉不前。,学习本无底，前进莫彷徨。
327,志向太远，不可怕；没有到达，不可怕可怕的是没有志向，失去了奋斗的方向。,如果你相信自己，你可以做任何事。
328,生命的美，不在它的绚烂，而在它的平和；生命的动人，不在它的激情，而在它的平静。惟平和，才见生命的广大；惟平静，才见生命的深远。,古之立大事者，不惟有超世之材，亦必有坚忍不拨之志。
329,没有灯的小路一样能够行走，只要心还在。,若不给自己设限，则人生中就没有限制你发挥的藩篱。
330,运气是努力的附属品。没有经过实力的原始积累，给你运气你也抓不住。上天给予每个人的都一样，但每个人的准备却不一样。不要羡慕那些总能撞大运的人，你必须很努力，才能遇上好运气。,今天所有的懒惰都会换来明天的卑微。
331,生活从来不会刻意亏欠谁，它给了你一块阴影，必会在不远的地方撒下阳光。,每个人身上都有惰性和消极情绪，成功的人都是懂得管理自己的情绪和克服自己的惰性，并像太阳一样照亮身边的人，激励身边的人。
332,经营自己的长处，能使你人生增值；经营你的短处，能使你人生贬值。,学习这件事不在于有没有人教你，最重要的是在于你自己有没有觉悟和恒心。
333,生气，就是拿别人的过错来惩罚自己。原谅别人，就是善待自己。,东西，让你羡慕，却不能拥有；有些错过，让你留恋，却终生遗憾。
334,不怕物质匮乏，就怕心灵匮乏，不怕物质富有，就怕精神没有。舍得付出不计吃亏，就是富有的人生;贪图安逸只知享受，必是贫穷的人生。,再高的人有时也需踮足，再矮的人有时也需屈身。
335,天行健，君子以自強不息，地勢坤，君子以厚德载物。,同样的一生，有些人顺从自己，活出了想要的模样；有些人却忙着取悦观众，而丢了自己。
336,别人不会在意你的一切，只有自己成就自己，才能在别人面前抬得起头。,有你们的陪伴，我将风雨不惧。即使流泪，也会勇敢微笑。
337,无论有多困难，都坚强地抬头挺胸，告诉所有人，你并非他们想象的那样不堪一击。,不要把负能量看做是消极，仇恨。其实它的作用是激励，它其实是现实。
338,机不可失，时不再来。,只有轮回继续转，日升月沉草木枯荣。是谁说过：时间仍在，是我们在飞逝。
339,不求与人相比，但求超越自己，要哭就哭出激动的泪水，要笑就笑出成长的性格。,溪流的秀美是因为它脚下的路坎坷不平。
340,比一比这两条鱼谁长的帅，长得帅就是明天的菜。,人生应该树立目标，否则你的精力会白白浪费。
341,命运不是一个机遇的问题，而是一个选择问题；它不是我们要等待的东西，而是我们要实现的东西。,糊口就像海洋，只有意志坚强的人，才能到达彼岸。
342,旁观者的姓名永远爬不到比赛的计分板上。,骏马是跑出来的，强兵是打出来的。
343,学习这件事，不是缺乏时间，而是缺乏努力。,什么时候离光明最近？那就是你觉得黑暗太黑的时候。
344,低头是一种潜质，它不是自卑，也不是怯弱，它是清醒中的嬗变。有时，稍微低一下头，或者我们的人生路会更精彩。,不妄求，则心安，不妄做，则身安。
345,要先打败任何事情得先学会打败自己。,选一个方向，定一个时间；剩下的只管努力与坚持，时间会给我们最后的答案。
346,失败只有一种，那就是半途而废。,人，当你意识到自己活着的时候，就必须想到死亡，然后再努力去探寻如何才能生活得更好。
347,诸恶莫做，众善奉行，莫以善小而不为，莫以恶小而为之。,努力了不一定能够成功，但是放弃了肯定是失败。
348,不要质疑你的付出，这些都会一种累积一种沉淀，它们会默默铺路，只为让你成为更优秀的人。,照亮心灵，才能发现生活之美。
349,"我们的幸福取决于我们的愉快情绪,而愉快情绪又取决于身体的健康状况。我们的幸福十占其九依赖于我们的健康。只要我们保持健康,一切也就成了快乐源泉；但缺少了健康，一切外在的好处。",如果圆规的两只脚都动，永远也画不出一个圆。
350,目标不是都能达到的，但它可以作为瞄准点。,"我们的幸福取决于我们的愉快情绪,而愉快情绪又取决于身体的健康状况。我们的幸福十占其九依赖于我们的健康。只要我们保持健康,一切也就成了快乐源泉；但缺少了健康，一切外在的好处。"
351,人活着就是为了解决困难。这才是生命的意义，也是生命的内容。逃避不是办法，知难而上往往是解决问题的最好手段。,人生就像一块烧红的铁条，需要千锤百炼才能走好。
352,失败的定义：什么都要做，什么都在做，却从未做完过，也未做好过。,没有一劳永逸的开始；也没有无法拯救的结束。人生中，你需要把握的是：该开始的，要义无反顾地开始；该结束的，就干净利落地结束。
353,每天都冒出很多念头，那些不死的才叫做梦想。,不要太在乎自己的长相，因为能力不会写在脸上。
354,你经得起多少诋毁，就担得起多少赞美，活出自我，才值得拥有更好的邂逅。,功到自然成，成功之前难免有失败，然而只要能克服困难，坚持不懈地努力，那么，成功就在眼前。
355,万里寻山历百艰而无悔，一朝见井纵九死以何辞。,父母是教科书，朋友是参考书，爱人是工具书，邻居是报纸杂志，美女是画报。
356,我们的不满足大部分并非源自于疾病或物质上的困境，而是未能充分活出自己。不知道自己是谁，不认识我们真正的存在本质，无法自在地做自己，所以才会有情绪上的苦恼。,“稳妥”之船从未能从岸边走远。
357,自我打败自我是最可悲的失败，自我战胜自我是最可贵的胜利。,放手如拔牙。牙被拔掉的那一刻，你会觉得解脱。但舌头总会不由自主地往那个空空的牙洞里舔，一天数次。不痛了不代表你能完全无视，留下的那个空缺永远都在，偶尔甚至会异常挂念。适应是需要时间的，但牙总是要拔，因为太痛，所以终归还是要放手，随它去。
358,我把苦难挫折当作自己生存的最好导师。,我学习了一生，现在我还在学习，而将来，只要我还有精力，我还要学习下去。
359,猛兽总是独行，牛羊才成群结队。,其实一向陪着你的，是那个了不起的自己。
360,心灵激情不在，就可能被打败。,每一天都冒出很多念头，那些不死的才叫做梦想。
361,你不喜欢我，我一点都不介意。因为我活下来，不是为了取悦你！,没有热忱，世间便无进步。
362,孤独不是给别人机会来可怜你，而是给你机会发现更强大的自己。,早晨给自己一个微笑，种下一天？阳光。
363,生活就像一面镜子，你若对她笑，她就对你笑。,命运不是一个机遇的问题，而是一个选择问题；它不是我们要等待的东西，而是我们要实现的东西。
364,不管学历如何，读书多了，内心充实，精神自然丰富。不管长相如何，锻炼久了，减脂塑形，精自然充沛，然后你会遇见全新的自己。,人的一切痛苦，本质上都是对自己无能的愤怒！
365,明明知道无论花开花落都只是一场寂寞的演出，却仍然愿意倾尽全力来演好这一生。,奋斗者在汗水汇集的江河里，将事业之舟驶到了理想的彼岸。
366,等待的时候，时间照样过，但却被我们的思念给拉长了。,面对困难挫折挑战只要你肯相信自己，不断努力的付出，哪怕你现在的人生是从零开始，你都可以做得到。
367,自己打败自己是最可悲的失败，自己战胜自己是最可贵的胜利。,打击与挫败是成功的踏脚石，而不是绊脚石。
368,金钱损失了还能挽回，一旦失去信誉就很难挽回。,旁观者的姓名永远爬不到比赛的计分板上。
369,最后的措手不及是因为当初游刃有余的自己,不要因为打折就买不需要的东西，不要因为空虚就爱不合适的人。
370,找一个理由，否认忧伤，笑容就会灿烂到无所不在。,有一种朋友不在生活里，却在生命里。有一种陪伴不在身边，却在你心间。那些说不出的话，如果有人懂，就是幸福。
371,困难，激发前进的力量；挫折，磨练奋斗的勇气；失败，指明成功的方向。,其实多数人尊重的还是成功，而非有梦想。设想遇见一位失败了的李安，你会怎样看待他。
372,绝望的时侯抬头看着希望的光芒其实一直存在。,天塌下来，有个高的人帮你扛着，可是你能保证，天塌下来的时候，个儿高的人没在弯腰吗？之后，还不是得靠自己！
373,可怕的是，比你优秀的人比你还要努力。,即使是不成熟的尝试，也胜于胎死腹中的策略。
374,老天爷对每个人都是公平的。,世事忙忙如水流，休将名利挂心头。粗茶淡饭随缘过，富贵荣华莫强求。
375,没有口水与汗水，就没有成功的泪水。,把黑暗的那一面，擦得光亮一点，可以让缺点变得更圆满些。
376,骏马是跑出来的，强兵是打出来的。,不论你在什么时候开始，重要的是开始之后就不要停止；不论你在什么时候结束，重要的是结束之后就不要悔恨。
377,当有人说你是傻瓜时，证明你离成功不远了。,只有脚踏实地的人，才能够说：路，就在我的脚下。
378,桂冠上的飘带，不是用天才纤维捻制而成的，而是用痛苦，磨难的丝缕纺织出来的。,我会把每一次改变当做成长，哪怕是痛也值得。
